setting,outcome,term,reduced,full,lr,df,p,n,subjects,structure,scaling
hof_physical_speed,StepLengthHof,AgeGroup,StepLengthHof ~ Speed + I(Speed ** 2),StepLengthHof ~ AgeGroup + Speed + I(Speed ** 2),1.20897668548,1,0.271534881445,258,43,correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed
hof_physical_speed,StepLengthHof,AgeGroup:Speed,StepLengthHof ~ AgeGroup + Speed + I(Speed ** 2),StepLengthHof ~ AgeGroup * Speed + I(Speed ** 2),3.28401335942,1,0.069957663509,258,43,correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed
hof_physical_speed,CadenceHof,AgeGroup,CadenceHof ~ Speed + I(Speed ** 2),CadenceHof ~ AgeGroup + Speed + I(Speed ** 2),5.8928949247,1,0.0152020897353,258,43,correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed
hof_physical_speed,CadenceHof,AgeGroup:Speed,CadenceHof ~ AgeGroup + Speed + I(Speed ** 2),CadenceHof ~ AgeGroup * Speed + I(Speed ** 2),3.22289715982,1,0.0726150041413,258,43,correlated_random_intercept_Speed_slope,Hof outcomes in dimensionless units; Speed m/s; matched physical speed
hof_dimensionless_speed,StepLengthHof,AgeGroup,StepLengthHof ~ SpeedHof + I(SpeedHof ** 2),StepLengthHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),2.87402051062,1,0.0900197315646,258,43,correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed
hof_dimensionless_speed,StepLengthHof,AgeGroup:SpeedHof,StepLengthHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),StepLengthHof ~ AgeGroup * SpeedHof + I(SpeedHof ** 2),2.21408424801,1,0.136756188726,258,43,correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed
hof_dimensionless_speed,CadenceHof,AgeGroup,CadenceHof ~ SpeedHof + I(SpeedHof ** 2),CadenceHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),2.45996476151,1,0.116781401992,258,43,correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed
hof_dimensionless_speed,CadenceHof,AgeGroup:SpeedHof,CadenceHof ~ AgeGroup + SpeedHof + I(SpeedHof ** 2),CadenceHof ~ AgeGroup * SpeedHof + I(SpeedHof ** 2),4.12876444657,1,0.0421601220401,258,43,correlated_random_intercept_SpeedHof_slope,Hof outcomes and Speed/sqrt(g*LegLength) in dimensionless units; matched dimensionless speed
leg_length_covariate,StepLength,AgeGroup,StepLength ~ Speed + I(Speed ** 2) + LegLength,StepLength ~ AgeGroup + Speed + I(Speed ** 2) + LegLength,8.12144417123,1,0.0043744697928,258,43,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length"
leg_length_covariate,StepLength,AgeGroup:Speed,StepLength ~ AgeGroup + Speed + I(Speed ** 2) + LegLength,StepLength ~ AgeGroup * Speed + I(Speed ** 2) + LegLength,0.408467580642,1,0.522748327366,258,43,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length"
leg_length_covariate,Cadence,AgeGroup,Cadence ~ Speed + I(Speed ** 2) + LegLength,Cadence ~ AgeGroup + Speed + I(Speed ** 2) + LegLength,6.90147455947,1,0.00861246857837,258,43,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length"
leg_length_covariate,Cadence,AgeGroup:Speed,Cadence ~ AgeGroup + Speed + I(Speed ** 2) + LegLength,Cadence ~ AgeGroup * Speed + I(Speed ** 2) + LegLength,1.29471094694,1,0.255181594841,258,43,correlated_random_intercept_Speed_slope,"raw outcomes (m, steps/min), Speed m/s, LegLength m; matched physical speed and leg length"
