mediator,outcome,sex_adjusted,a,b,total,direct,indirect,percentile_low,percentile_high,bca_low,bca_high,z0,acceleration,attenuation_pct,n_boot,seed
Cadence,H2A_M,False,0.634289992708,0.313310461218,0.721617245814,0.522887555653,0.198729690161,-0.0109585943843,0.454215456399,0.0306915318967,0.552210246939,0.21957777753,0.0138973718066,27.5394873548,10000,20260910
Cadence,H2A_I,False,0.634289992708,0.342979426166,0.784063259465,0.566514841743,0.217548417722,0.0137809611603,0.478598902315,0.0531484066898,0.582938214466,0.2013818578,0.0231893167308,27.7462838738,10000,20260910
Cadence,H2A_W,False,0.634289992708,0.316787039265,0.45835242749,0.257417578665,0.200934848825,-0.0208177969552,0.479481952673,0.0297631480306,0.603380348357,0.243523348417,0.0117243212663,43.8385043416,10000,20260910
StepLength,H2A_M,False,-0.756548499002,-0.299730103882,0.721617245814,0.494856885616,0.226760360198,-0.00377347378763,0.593722826627,0.0195447837075,0.668385498512,0.124398198069,0.0102960289908,31.423910877,10000,20260910
StepLength,H2A_I,False,-0.756548499002,-0.272960029294,0.784063259465,0.577555759015,0.20650750045,-0.0444013927999,0.508398552172,0.00693661466398,0.602440527174,0.178156590543,0.00779229338367,26.3381172319,10000,20260910
StepLength,H2A_W,False,-0.756548499002,-0.248724429678,0.45835242749,0.270180333552,0.188172093938,-0.0436725072653,0.543395294656,-0.00919728104243,0.623621353716,0.144633811749,0.00263973665391,41.0540192769,10000,20260910
Cadence,H2A_M,True,0.601635546669,0.423532831215,0.760186973423,0.505374566983,0.25481240644,0.0178556126399,0.55238404114,0.0440150783574,0.610522906503,0.128946477374,0.0070530496237,33.5197017772,10000,20260910
Cadence,H2A_I,True,0.601635546669,0.435226465942,0.813705626311,0.551857913549,0.261847712762,0.0211710111194,0.591799072713,0.0395998600417,0.633037346939,0.110516203562,-0.00734090682116,32.1796610832,10000,20260910
Cadence,H2A_W,True,0.601635546669,0.364599745529,0.469176890696,0.249820723479,0.219356167217,0.00639728424751,0.542681966501,0.0301869779544,0.63464075004,0.169250003458,-0.00047879681192,46.7534040074,10000,20260910
StepLength,H2A_M,True,-0.720140379934,-0.433717916235,0.760186973423,0.447849188441,0.312337784982,0.0382454300365,0.71897861221,0.051151987551,0.746185334291,0.072253713053,-0.00553881200937,41.0869688513,10000,20260910
StepLength,H2A_I,True,-0.720140379934,-0.380135274112,0.813705626311,0.539954865586,0.273750760725,0.030728112009,0.592362856014,0.0621888041968,0.665201322728,0.148687785314,0.0118951555303,33.6424809997,10000,20260910
StepLength,H2A_W,True,-0.720140379934,-0.302555449463,0.469176890696,0.251294494368,0.217882396327,-0.00375173078426,0.593215195494,0.00985991703205,0.654972919067,0.104717468896,-0.00420956683428,46.4392856187,10000,20260910
