model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula
age_sex,H2A_W,full,Intercept,-0.163229540403,0.239969263106,-0.648225512496,0.321766431689,0.500289663062,43,0.0605139788495,-59.1663709392,124.332741878,H2A_W ~ AgeGroup + Female
age_sex,H2A_W,full,AgeGroup,0.469176890696,0.303677217547,-0.144577660284,1.08293144168,0.130225534381,43,0.0605139788495,-59.1663709392,124.332741878,H2A_W ~ AgeGroup + Female
age_sex,H2A_W,full,Female,-0.166696733369,0.310471732142,-0.794183510587,0.46079004385,0.594300901686,43,0.0605139788495,-59.1663709392,124.332741878,H2A_W ~ AgeGroup + Female
cadence_sex,H2A_W,full,Intercept,0.0163848470985,0.241350879976,-0.471793386372,0.504563080569,0.946221596612,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female
cadence_sex,H2A_W,full,AgeGroup,0.249820723479,0.304312773579,-0.365709960489,0.865351407448,0.416673802901,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female
cadence_sex,H2A_W,full,Cadence,0.364599745529,0.159452488725,0.0420766444081,0.687122846649,0.0277329566789,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female
cadence_sex,H2A_W,full,Female,-0.350046095194,0.305952339544,-0.968893114354,0.268800923965,0.259547829562,43,0.171574333751,-56.4615456425,120.923091285,H2A_W ~ AgeGroup + Cadence + Female
step_length_sex,H2A_W,full,Intercept,0.0102444510634,0.25300429427,-0.501505037687,0.521993939814,0.967908092964,43,0.131638728589,-57.4737812819,122.947562564,H2A_W ~ AgeGroup + StepLength + Female
step_length_sex,H2A_W,full,AgeGroup,0.251294494368,0.319820634945,-0.395603799975,0.898192788712,0.436770252865,43,0.131638728589,-57.4737812819,122.947562564,H2A_W ~ AgeGroup + StepLength + Female
step_length_sex,H2A_W,full,StepLength,-0.302555449463,0.169282678999,-0.644961987193,0.039851088267,0.0816660125092,43,0.131638728589,-57.4737812819,122.947562564,H2A_W ~ AgeGroup + StepLength + Female
step_length_sex,H2A_W,full,Female,-0.336335045733,0.316841282766,-0.977207031476,0.30453694001,0.294980810698,43,0.131638728589,-57.4737812819,122.947562564,H2A_W ~ AgeGroup + StepLength + Female
both_parameters,H2A_W,full,Intercept,-0.119897037441,0.213254009839,-0.551243986805,0.311449911922,0.577179199566,43,0.144364752692,-57.1563624414,122.312724883,H2A_W ~ AgeGroup + StepLength + Cadence
both_parameters,H2A_W,full,AgeGroup,0.245503457618,0.317533662706,-0.396768998743,0.887775913979,0.444090368464,43,0.144364752692,-57.1563624414,122.312724883,H2A_W ~ AgeGroup + StepLength + Cadence
both_parameters,H2A_W,full,StepLength,-0.0374404264698,0.227160309451,-0.496915521789,0.422034668849,0.869937467328,43,0.144364752692,-57.1563624414,122.312724883,H2A_W ~ AgeGroup + StepLength + Cadence
both_parameters,H2A_W,full,Cadence,0.290913420589,0.221584416758,-0.157283367208,0.739110208387,0.196897100913,43,0.144364752692,-57.1563624414,122.312724883,H2A_W ~ AgeGroup + StepLength + Cadence
