model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,covariance,inference,df_resid,scaling,structure
cadence_sex_relative_speed,H2A_M,full,Cadence,0.483668063977,0.138703141311,0.20287823419,0.764457893764,0.00124990117959,43,0.422117287323,-48.7181877054,107.436375411,H2A_M ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_M,full,Female,-0.805068198655,0.258875340134,-1.3291339264,-0.281002470906,0.00354024648947,43,0.422117287323,-48.7181877054,107.436375411,H2A_M ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_M,full,RelativeSpeed,-0.241400327742,0.129214945108,-0.502982308509,0.0201816530244,0.0694581245214,43,0.422117287323,-48.7181877054,107.436375411,H2A_M ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
CadenceHof,H2A_M,full,Intercept,-0.265586509065,0.186635663453,-0.642791255423,0.111618237292,0.162482984133,43,0.288292827527,-53.1965436076,112.393087215,H2A_M ~ AgeGroup + CadenceHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof,H2A_M,full,AgeGroup,0.543819994753,0.270518102914,-0.002917485679,1.09055747519,0.0511769559705,43,0.288292827527,-53.1965436076,112.393087215,H2A_M ~ AgeGroup + CadenceHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof,H2A_M,full,CadenceHof,0.403942090225,0.136822791863,0.127412912758,0.680471267693,0.00525691639642,43,0.288292827527,-53.1965436076,112.393087215,H2A_M ~ AgeGroup + CadenceHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof,H2A_M,full,Intercept,-0.296186352717,0.188074042115,-0.676298170791,0.0839254653578,0.123170803706,43,0.267879800861,-53.8045239349,113.60904787,H2A_M ~ AgeGroup + StepLengthHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof,H2A_M,full,AgeGroup,0.606476817468,0.270831904763,0.0591051198422,1.15384851509,0.0307633253454,43,0.267879800861,-53.8045239349,113.60904787,H2A_M ~ AgeGroup + StepLengthHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof,H2A_M,full,StepLengthHof,-0.37156538733,0.136981506731,-0.648415339511,-0.0947154351492,0.00979744357821,43,0.267879800861,-53.8045239349,113.60904787,H2A_M ~ AgeGroup + StepLengthHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_M,full,Intercept,-0.0975715543352,0.203566782304,-0.509324236522,0.314181127852,0.634395113848,43,0.344064054277,-51.4420702553,110.884140511,H2A_M ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_M,full,AgeGroup,0.591624253683,0.264317982272,0.0569906709381,1.12625783643,0.0309824467304,43,0.344064054277,-51.4420702553,110.884140511,H2A_M ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_M,full,CadenceHof,0.366742370903,0.134585308264,0.0945178899069,0.638966851899,0.0095771347268,43,0.344064054277,-51.4420702553,110.884140511,H2A_M ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_M,full,Female,-0.484031322996,0.265807224294,-1.02167718206,0.0536145360639,0.0762873988701,43,0.344064054277,-51.4420702553,110.884140511,H2A_M ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_M,full,Intercept,-0.18407805662,0.21252969332,-0.613959937537,0.245803824297,0.39171693855,43,0.290691565143,-53.1239576241,114.247915248,H2A_M ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_M,full,AgeGroup,0.650807675301,0.272861595114,0.0988930044386,1.20272234616,0.0220299152337,43,0.290691565143,-53.1239576241,114.247915248,H2A_M ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_M,full,StepLengthHof,-0.299403754806,0.150987075782,-0.604803942034,0.00599643242129,0.0544444630394,43,0.290691565143,-53.1239576241,114.247915248,H2A_M ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
