model,outcome,sample,term,estimate,se,ci_low,ci_high,p,n,r2,llf,aic,formula,covariance,inference,df_resid,scaling,structure
cadence_sex_height,H2A_W,full,Female,-0.24795057733,0.427586507089,-1.11355420685,0.617653052188,0.565415491107,43,0.174176227616,-56.3939128382,122.787825676,H2A_W ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_height,H2A_W,full,Height,0.0832841107685,0.240696212523,-0.403979897138,0.570548118675,0.73124113265,43,0.174176227616,-56.3939128382,122.787825676,H2A_W ~ AgeGroup + Cadence + Female + Height,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_W,full,Intercept,0.0626342787754,0.242830771545,-0.428950917958,0.554219475509,0.797849769294,43,0.202800537853,-55.6354683791,121.270936758,H2A_W ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_W,full,AgeGroup,0.15394525334,0.312468182673,-0.478613512071,0.786504018751,0.625077097359,43,0.202800537853,-55.6354683791,121.270936758,H2A_W ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_W,full,Cadence,0.410724644963,0.162910825409,0.0809289207675,0.740520369158,0.0160120577402,43,0.202800537853,-55.6354683791,121.270936758,H2A_W ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_W,full,Female,-0.348595547499,0.304056526337,-0.964125804916,0.266934709918,0.25876365907,43,0.202800537853,-55.6354683791,121.270936758,H2A_W ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
cadence_sex_relative_speed,H2A_W,full,RelativeSpeed,-0.185158771807,0.151766666304,-0.492394325349,0.122076781734,0.229974038868,43,0.202800537853,-55.6354683791,121.270936758,H2A_W ~ AgeGroup + Cadence + Female + RelativeSpeed,nonrobust,"Student t, residual degrees of freedom",38,continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1,OLS independent subjects
CadenceHof,H2A_W,full,Intercept,-0.144996923337,0.200133618575,-0.549482054613,0.259488207939,0.472975212884,43,0.181625349529,-56.199097888,118.398195776,H2A_W ~ AgeGroup + CadenceHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof,H2A_W,full,AgeGroup,0.296898462071,0.290082644575,-0.289380432035,0.883177356177,0.312223597912,43,0.181625349529,-56.199097888,118.398195776,H2A_W ~ AgeGroup + CadenceHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof,H2A_W,full,CadenceHof,0.366811364504,0.146718156287,0.0702829095216,0.663339819486,0.0166159519781,43,0.181625349529,-56.199097888,118.398195776,H2A_W ~ AgeGroup + CadenceHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof,H2A_W,full,Intercept,-0.187965096967,0.207529336012,-0.607397530748,0.231467336814,0.370503533967,43,0.108577349347,-58.0373141488,122.074628298,H2A_W ~ AgeGroup + StepLengthHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof,H2A_W,full,AgeGroup,0.384880912837,0.298848074589,-0.219113576156,0.98887540183,0.205188322271,43,0.108577349347,-58.0373141488,122.074628298,H2A_W ~ AgeGroup + StepLengthHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof,H2A_W,full,StepLengthHof,-0.237097188119,0.151151540203,-0.54258584623,0.0683914699915,0.12461764126,43,0.108577349347,-58.0373141488,122.074628298,H2A_W ~ AgeGroup + StepLengthHof,nonrobust,"Student t, residual degrees of freedom",40,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_W,full,Intercept,-0.124839384296,0.227268460586,-0.584533235934,0.334854467342,0.585928861831,43,0.182428116209,-56.1779975836,120.355995167,H2A_W ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_W,full,AgeGroup,0.302633762344,0.295093041489,-0.294248253243,0.89951577793,0.311421228846,43,0.182428116209,-56.1779975836,120.355995167,H2A_W ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_W,full,CadenceHof,0.362348340389,0.150255338717,0.0584282310789,0.6662684497,0.0206922391391,43,0.182428116209,-56.1779975836,120.355995167,H2A_W ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
CadenceHof_sex,H2A_W,full,Female,-0.058071499088,0.29675567887,-0.658316516207,0.542173518031,0.845870480379,43,0.182428116209,-56.1779975836,120.355995167,H2A_W ~ AgeGroup + CadenceHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_W,full,Intercept,-0.202447756135,0.238205140629,-0.684263131191,0.279367618921,0.400574651801,43,0.108958046818,-58.0281302404,124.056260481,H2A_W ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_W,full,AgeGroup,0.37915405116,0.305825664268,-0.239436743069,0.997744845389,0.222468039813,43,0.108958046818,-58.0281302404,124.056260481,H2A_W ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_W,full,StepLengthHof,-0.246419355748,0.169227636186,-0.588714558881,0.0958758473843,0.15335742929,43,0.108958046818,-58.0281302404,124.056260481,H2A_W ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
StepLengthHof_sex,H2A_W,full,Female,0.0437069670262,0.338592588218,-0.641161186753,0.728575120806,0.897954419085,43,0.108958046818,-58.0281302404,124.056260481,H2A_W ~ AgeGroup + StepLengthHof + Female,nonrobust,"Student t, residual degrees of freedom",39,"Hof parameter normalized first, then continuous variables full-sample z scores ddof=1; AgeGroup and Female=0/1",OLS independent subjects
