AgeGroup,Speed,StepLength,pinf,psup
0.0,0.39,0.3790660304753829,0.3739165388393694,0.3836993439060595
0.0,0.40393939393939393,0.3833695380903166,0.37831599686529266,0.38791469762070846
0.0,0.4178787878787879,0.38767304570525035,0.38271545489121594,0.39213005133535744
0.0,0.4318181818181818,0.39197655332018405,0.38711491291713923,0.39634540505000637
0.0,0.4457575757575758,0.3962800609351176,0.3915143709430625,0.40056075876465536
0.0,0.4596969696969697,0.4005835685500514,0.39591382896898586,0.4047761124793044
0.0,0.47363636363636363,0.40488707616498504,0.4003132869949091,0.4089914661939533
0.0,0.48757575757575755,0.40919058377991874,0.4047127450208324,0.4132068199086023
0.0,0.5015151515151515,0.4134940913948524,0.4091122030467557,0.4174225501476328
0.0,0.5154545454545455,0.417797599009786,0.413511661072679,0.4216391357325273
0.0,0.5293939393939394,0.4221011066247198,0.4179111190986023,0.42585572131742194
0.0,0.5433333333333333,0.4264046142396535,0.4223105771245256,0.4300723069023165
0.0,0.5572727272727273,0.43070812185458707,0.42671003515044886,0.43428889248721103
0.0,0.5712121212121213,0.4350116294695209,0.4311094931763722,0.43850400735281525
0.0,0.5851515151515152,0.4393151370844545,0.43545344554445065,0.44271195669152663
0.0,0.5990909090909091,0.4436186446993882,0.4397860965153102,0.446919906030238
0.0,0.613030303030303,0.44792215231432186,0.44411874748616975,0.45112785536894945
0.0,0.626969696969697,0.4522256599292556,0.44845139845702936,0.4553358047076608
0.0,0.6409090909090909,0.45652916754418915,0.45278404942788897,0.45955215208001515
0.0,0.6548484848484848,0.4608326751591229,0.4571167003987485,0.46384591407713877
0.0,0.6687878787878788,0.46513618277405655,0.4614493513696082,0.46810956047937474
0.0,0.6827272727272727,0.4694396903889904,0.46577714128340586,0.4723300350850557
0.0,0.6966666666666667,0.473743198003924,0.4701045634197731,0.4765627840426101
0.0,0.7106060606060607,0.4780467056188577,0.47443198555614036,0.48080854202144063
0.0,0.7245454545454546,0.4823502132337913,0.47884950145836636,0.4850543000002711
0.0,0.7384848484848485,0.4866537208487251,0.48327122751221796,0.48930005797910164
0.0,0.7524242424242424,0.49095722846365875,0.48769295356606956,0.49357302969893874
0.0,0.7663636363636364,0.49526073607859245,0.4921146796199212,0.49785491747081567
0.0,0.7803030303030303,0.49956424369352603,0.4965333629117291,0.5021368052426927
0.0,0.7942424242424242,0.5038677513084597,0.5009513364745984,0.5064186930145697
0.0,0.8081818181818181,0.5081712589233934,0.5053693100374677,0.5107005807864466
0.0,0.8221212121212121,0.512474766538327,0.5097872836003369,0.5149824685583236
0.0,0.8360606060606061,0.5167782741532608,0.5141556981767674,0.5192643563302006
0.0,0.85,0.5210817817681945,0.5185140585036997,0.5235189770007291
0.0,0.863939393939394,0.5253852893831282,0.5228724188306322,0.5278013265248861
0.0,0.8778787878787879,0.5296887969980619,0.5272307791575644,0.5320896301198054
0.0,0.8918181818181818,0.5339923046129956,0.5315891394844969,0.5363791853260298
0.0,0.9057575757575758,0.5382958122279292,0.5359474998114292,0.5406737951895856
0.0,0.9196969696969697,0.5425993198428629,0.5403035606100118,0.5449556829614626
0.0,0.9336363636363636,0.5469028274577965,0.5446583214896469,0.5492375707333396
0.0,0.9475757575757576,0.5512063350727304,0.5489920188273246,0.5535301631629518
0.0,0.9615151515151515,0.555509842687664,0.5533134743419446,0.5578516441850102
0.0,0.9754545454545455,0.5598133503025976,0.5576143057545409,0.5621731252070685
0.0,0.9893939393939394,0.5641168579175313,0.5619124062442141,0.566494606229127
0.0,1.0033333333333334,0.5684203655324651,0.5662099701035214,0.5708160872511854
0.0,1.017272727272727,0.5727238731473986,0.5705075339628284,0.5751375682732437
