AgeGroup,Speed,Cadence,pinf,psup
0.0,0.39,65.73633383575526,63.75277572734633,67.50725552203389
0.0,0.40393939393939393,66.83014954893271,64.90278988885335,68.5169311399213
0.0,0.4178787878787879,67.9152225451878,66.04347383901144,69.51941130148013
0.0,0.4318181818181818,68.99155282452053,67.20854891784982,70.5146960067104
0.0,0.4457575757575758,70.0591403869309,68.36340687218024,71.50278525561207
0.0,0.4596969696969697,71.1179852324189,69.50786173270926,72.48367904818518
0.0,0.47363636363636363,72.16808736098456,70.6419134994369,73.46653244255948
0.0,0.48757575757575755,73.20944677262783,71.76556217236316,74.4441615572711
0.0,0.5015151515151515,74.24206346734874,72.87880775148804,75.41440977576414
0.0,0.5154545454545455,75.26593744514729,73.98165023681155,76.38521791013444
0.0,0.5293939393939394,76.28106870602348,75.07408962833367,77.35015951719204
0.0,0.5433333333333333,77.2874572499773,76.1561259260544,78.30723747740505
0.0,0.5572727272727273,78.28510307700874,77.22775912997376,79.25645179077348
0.0,0.5712121212121213,79.27400618711783,78.2648677856931,80.19780245729736
0.0,0.5851515151515152,80.25416658030456,79.28718100289049,81.13128947697665
0.0,0.5990909090909091,81.22558425656894,80.30020792861086,82.05691284981137
0.0,0.613030303030303,82.18825921591092,81.30394856285416,82.9746725758015
0.0,0.626969696969697,83.14219145833056,82.33027451128581,83.88456865494709
0.0,0.6409090909090909,84.08738098382783,83.32165743375272,84.78660108724809
0.0,0.6548484848484848,85.02382779240271,84.28339733495595,85.68076987270452
0.0,0.6687878787878788,85.9515318840553,85.23616736886488,86.56707501131638
0.0,0.6827272727272727,86.87049325878546,86.18335736191499,87.45071984505418
0.0,0.6966666666666667,87.78071191659328,87.11296868214573,88.33321365410232
0.0,0.7106060606060607,88.68218785747871,88.02739499481812,89.21458284085452
0.0,0.7245454545454546,89.5749210814418,88.9333851214382,90.0871852590961
0.0,0.7384848484848485,90.45891158848254,89.83093906200592,90.95102090882712
0.0,0.7524242424242424,91.33415937860089,90.72005681652132,91.8118540611797
0.0,0.7663636363636364,92.20066445179687,91.60073838498438,92.67706108587423
0.0,0.7803030303030303,93.0584268080705,92.4718809237418,93.54782541241565
0.0,0.7942424242424242,93.90744644742175,93.31813962455605,94.37566654601277
0.0,0.8081818181818181,94.74772336985063,94.14585655784272,95.21524845681058
0.0,0.8221212121212121,95.5792575753572,94.96478077371691,96.0508313169529
0.0,0.8360606060606061,96.40204906394136,95.77561735822005,96.8775196554606
0.0,0.85,97.21609783560316,96.57754987031669,97.6951628712434
0.0,0.863939393939394,98.02140389034263,97.37414631214769,98.52151334909188
0.0,0.8778787878787879,98.81796722815969,98.17433255598503,99.34389015612217
0.0,0.8918181818181818,99.60578784905438,98.97987427254257,100.13349725433258
0.0,0.9057575757575758,100.38486575302676,99.77666833596591,100.91506546817807
0.0,0.9196969696969697,101.15520094007674,100.5643664518722,101.68784258543653
0.0,0.9336363636363636,101.91679341020435,101.34190054651009,102.45182860610798
0.0,0.9475757575757576,102.66964316340962,102.10953868691286,103.20904593636338
0.0,0.9615151515151515,103.41375019969252,102.85962075978503,103.96946992052796
0.0,0.9754545454545455,104.14911451905304,103.59479827779202,104.72013303919526
0.0,0.9893939393939394,104.87573612149122,104.31059006566525,105.46103529236528
0.0,1.0033333333333334,105.59361500700702,105.01851671398934,106.19217668003805
0.0,1.017272727272727,106.30275117560042,105.71857822276428,106.91355720221351
0.0,1.0312121212121212,107.00314462727151,106.41693376518165,107.62517685889173
0.0,1.0451515151515152,107.6947953620202,107.11553111166647,108.32703565007267
0.0,1.059090909090909,108.37770337984655,107.80574557846359,109.01913357575633
0.0,1.073030303030303,109.05186868075054,108.48757716557297,109.7014706359427
0.0,1.086969696969697,109.71729126473214,109.16102587299464,110.37404683063181
0.0,1.100909090909091,110.37397113179142,109.82609170072863,111.03686215982364
0.0,1.1148484848484848,111.02190828192828,110.46907231877192,111.6899166235182
0.0,1.128787878787879,111.66110271514282,111.10207207653366,112.3332102217155
0.0,1.1427272727272726,112.29155443143495,111.72610041610199,112.96674295441551
0.0,1.1566666666666667,112.91326343080478,112.3412095393686,113.59051482161826
0.0,1.1706060606060604,113.52622971325216,112.9479522315168,114.2197518594408
0.0,1.1845454545454546,114.13045327877724,113.54632849254658,114.84128484277038
0.0,1.1984848484848485,114.72593412737993,114.13164882554445,115.4538132103551
0.0,1.2124242424242424,115.3126722590603,114.70381709356272,116.05733696219497
0.0,1.2263636363636363,115.89066767381824,115.26713699510618,116.65185609828997
0.0,1.2403030303030302,116.45992037165387,115.82160853017479,117.23737061864013
0.0,1.2542424242424244,117.02043035256713,116.36723169876855,117.81388052324542
0.0,1.268181818181818,117.572197616558,116.90698664334882,118.38138581210585
0.0,1.2821212121212122,118.11522216362651,117.44555454242197,118.93988648522146
0.0,1.296060606060606,118.64950399377265,117.9758254361597,119.48938254259218
0.0,1.31,119.17504310699644,118.49779932456194,120.0270271245898
0.0,1.323939393939394,119.69183950329787,119.0114394108788,120.54454280409327
0.0,1.337878787878788,120.19989318267693,119.50102637255667,121.04447190832109
0.0,1.3518181818181818,120.6992041451336,119.9693329231946,121.53151891404143
0.0,1.3657575757575757,121.18977239066798,120.42807811834327,122.00810414263643
0.0,1.3796969696969696,121.67159791927992,120.8701171809189,122.47814711454387
0.0,1.3936363636363636,122.14468073096953,121.30869082521836,122.94192099327006
0.0,1.4075757575757577,122.60902082573676,121.73551594682952,123.41748170486605
0.0,1.4215151515151514,123.06461820358163,122.15287563275628,123.89447515153782
0.0,1.4354545454545455,123.51147286450414,122.5673074437818,124.367499374195
0.0,1.4493939393939392,123.94958480850426,122.97490180961125,124.82260097724158
0.0,1.4633333333333334,124.37895403558207,123.37195672367942,125.27373335627358
0.0,1.477272727272727,124.79958054573746,123.75431970148392,125.71953741881656
0.0,1.4912121212121212,125.21146433897053,124.12713490212049,126.16184836899836
0.0,1.5051515151515154,125.61460541528122,124.4819943174543,126.59578764135024
0.0,1.519090909090909,126.00900377466952,124.82415696886875,127.02200011991424
0.0,1.5330303030303032,126.39465941713551,125.15658926655243,127.43992313637696
0.0,1.5469696969696969,126.77157234267912,125.47929121050524,127.86512172177491
0.0,1.560909090909091,127.13974255130033,125.79226280072724,128.28368275112882
0.0,1.5748484848484847,127.4991700429992,126.10898150176324,128.6950159446044
0.0,1.5887878787878789,127.84985481777572,126.43009523160553,129.10547676707068
0.0,1.6027272727272726,128.19179687562985,126.74218927094755,129.51967191314947
0.0,1.6166666666666667,128.52499621656162,127.0452636197893,129.92679254265335
0.0,1.6306060606060604,128.84945284057102,127.3393182781308,130.32259371673757
0.0,1.6445454545454545,129.16516674765808,127.62435324597205,130.68686373776038
0.0,1.6584848484848487,129.47213793782277,127.89822893093881,131.0687006557352
0.0,1.6724242424242424,129.77036641106508,128.1259857899658,131.44335743052895
0.0,1.6863636363636365,130.05985216738503,128.33184649714113,131.81083406214162
0.0,1.7003030303030302,130.34059520678264,128.52602597961322,132.17113055057325
0.0,1.7142424242424243,130.61259552925787,128.70972041457955,132.52553549271354
0.0,1.728181818181818,130.8758531348107,128.88292980203994,132.8726573186408
0.0,1.7421212121212122,131.13036802344124,129.04565414199448,133.21057617914295
0.0,1.7560606060606059,131.37614019514933,129.19789343444313,133.54273223973766
0.0,1.77,131.6131696499351,129.33964767938593,133.8677226505127
1.0,0.42,74.30609915122643,72.56027649188931,76.21616183137935
1.0,0.43272727272727274,75.2879678322837,73.59162658810024,77.1142343393146
1.0,0.44545454545454544,76.26254816142645,74.61483307387105,78.00651313266492
1.0,0.4581818181818182,77.22984013865475,75.63303312498915,78.89299821143034
1.0,0.4709090909090909,78.18984376396854,76.64948074329175,79.77368957561083
1.0,0.48363636363636364,79.14255903736786,77.65778034789581,80.6485872252064
1.0,0.49636363636363634,80.08798595885267,78.65793193880131,81.51769116021705
1.0,0.509090909090909,81.02612452842301,79.64993551600827,82.38100138064277
1.0,0.5218181818181818,81.95697474607887,80.6337910795167,83.25806926699738
1.0,0.5345454545454545,82.88053661182022,81.60949862932655,84.1392338138207
1.0,0.5472727272727272,83.79681012564711,82.57705816543786,85.01384188833502
1.0,0.56,84.70579528755952,83.51471096520156,85.88189349054034
1.0,0.5727272727272728,85.60749209755744,84.44084768298035,86.77926112349499
1.0,0.5854545454545454,86.50190055564086,85.35832379599671,87.67277185470256
1.0,0.5981818181818181,87.38902066180981,86.26830098678292,88.53380472045122
1.0,0.6109090909090908,88.26885241606429,87.17077925533897,89.37770396040246
1.0,0.6236363636363637,89.14139581840423,88.06575860166488,90.21597076638106
1.0,0.6363636363636364,90.00665086882972,88.95679438887963,91.04830899136546
1.0,0.649090909090909,90.86461756734074,89.85095482379465,91.87400034117238
1.0,0.6618181818181819,91.71529591393728,90.73714394870527,92.69304481580183
1.0,0.6745454545454546,92.5586859086193,91.60510765875067,93.50544241525378
1.0,0.6872727272727273,93.39478755138687,92.4579157999132,94.31119313952827
1.0,0.7,94.22360084223989,93.30177893842995,95.11029698862527
1.0,0.7127272727272727,95.04512578117848,94.1331848152709,95.9170021475403
1.0,0.7254545454545455,95.85936236820258,94.98345193224698,96.72480029162412
1.0,0.7381818181818182,96.66631060331218,95.82657425489839,97.52524267798599
1.0,0.750909090909091,97.46597048650732,96.66110195067951,98.31832930662587
1.0,0.7636363636363637,98.25834201778794,97.47624752008413,99.1040601775438
1.0,0.7763636363636364,99.04342519715412,98.26377422128091,99.88231500433893
1.0,0.7890909090909091,99.8212200246058,99.04443614099995,100.6462468101752
1.0,0.8018181818181818,100.59172650014294,99.81212074251135,101.40314649440843
1.0,0.8145454545454545,101.35494462376565,100.56691980584618,102.15301405703866
1.0,0.8272727272727273,102.1108743954739,101.31505439641667,102.89584949806586
1.0,0.8400000000000001,102.8595158152676,102.06103992678734,103.63263374378144
1.0,0.8527272727272728,103.60086888314684,102.80410169598206,104.37594477002237
1.0,0.8654545454545455,104.33493359911161,103.53841185255565,105.12509986689632
1.0,0.8781818181818182,105.06170996316186,104.26997607849628,105.84462891831653
1.0,0.8909090909090909,105.78119797529767,104.99787892271348,106.55699771982452
1.0,0.9036363636363636,106.49339763551896,105.71849660904384,107.26230551853942
1.0,0.9163636363636364,107.19830894382578,106.43182913748738,107.96022438101504
1.0,0.9290909090909092,107.89593190021812,107.13787650804412,108.65075430725133
1.0,0.9418181818181819,108.58626650469596,107.836638720714,109.33389529724832
1.0,0.9545454545454546,109.26931275725933,108.52285591198856,110.01588067272888
1.0,0.9672727272727273,109.9450706579082,109.1954277317199,110.69704487701875
1.0,0.98,110.61354020664261,109.86132841134706,111.3710759526505
1.0,0.9927272727272727,111.27472140346248,110.52055795087006,112.03822235602736
1.0,1.0054545454545454,111.92861424836788,111.17311635028891,112.69784830261469
1.0,1.018181818181818,112.57521874135885,111.81864473599067,113.34995379241246
1.0,1.030909090909091,113.21453488243529,112.45684746860543,113.99453882542068
1.0,1.0436363636363637,113.84656267159727,113.08837872616517,114.63160340163932
1.0,1.0563636363636364,114.47130210884474,113.71323850866996,115.26114752106844
1.0,1.069090909090909,115.08875319417776,114.33142681611974,115.88317118370796
1.0,1.0818181818181818,115.69891592759627,114.94294364851453,116.49767438955797
1.0,1.0945454545454545,116.30179030910028,115.54384609635434,117.1046571386184
1.0,1.1072727272727272,116.89737633868982,116.13773320358995,117.70411943088929
1.0,1.12,117.4856740163649,116.72510368010286,118.29606126637063
1.0,1.1327272727272728,118.06668334212547,117.30386779929839,118.88048264506241
1.0,1.1454545454545455,118.64040431597155,117.86708055977265,119.45738356696464
1.0,1.1581818181818182,119.20683693790313,118.42346697819053,120.02927976009944
1.0,1.170909090909091,119.76598120792025,118.97302705455208,120.5970317786546
1.0,1.1836363636363636,120.31783712602288,119.51576078885721,121.14251802287473
1.0,1.1963636363636363,120.862404692211,120.05166818110598,121.67992828459461
1.0,1.209090909090909,121.39968390648468,120.58074923129838,122.20926256381418
1.0,1.221818181818182,121.92967476884387,121.1030039394344,122.7305208605335
1.0,1.2345454545454546,122.45237727928856,121.61843230551403,123.24370317475254
1.0,1.2472727272727273,122.96779143781876,122.12703432953728,123.74880950647129
1.0,1.26,123.4759172444345,122.6288100115042,124.25011942378846
1.0,1.2727272727272727,123.97675469913571,123.12375935141472,124.74444338799825
1.0,1.2854545454545454,124.47030380192244,123.61169689053057,125.25470602598668
1.0,1.298181818181818,124.9565645527947,124.10195279168354,125.75391384635218
